node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
Axwell & Ingrosso,0.52335,0.211575,2,Don't You Worry Child - Axwell & Ingrosso,played,Axwell & Ingrosso: Swedish House Mafia feat. John Martin - Don't You Worry Child,set_artist,1
Don't You Worry Child,0.55179,0.225428,1,Don't You Worry Child - John Martin,created,Axwell & Ingrosso: Swedish House Mafia feat. John Martin - Don't You Worry Child,track_basic,-1
John Martin,0.544251,0.25797,2,Don't You Worry Child - John Martin,created,Axwell & Ingrosso: Swedish House Mafia feat. John Martin - Don't You Worry Child,artist,-1
Don't You Worry Child,0.55179,0.225428,1,Don't You Worry Child - Swedish House Mafia,created,Axwell & Ingrosso: Swedish House Mafia feat. John Martin - Don't You Worry Child,track_basic,-1
Swedish House Mafia,0.553086,0.275729,2,Don't You Worry Child - Swedish House Mafia,created,Axwell & Ingrosso: Swedish House Mafia feat. John Martin - Don't You Worry Child,artist,-1
Cookin' On 3 Burners,0.717322,0.0734776,1,Cookin' On 3 Burners - This Girl ,created,Kygo: Kungs vs. Cookin' On 3 Burners feat. Kylie Auldist - This Girl (RTC Edit),artist,-1
This Girl ,0.681633,0.116231,2,Cookin' On 3 Burners - This Girl ,created,Kygo: Kungs vs. Cookin' On 3 Burners feat. Kylie Auldist - This Girl (RTC Edit),track_basic,-1
Tell Me ,0.402741,0.301752,1,Tell Me  - RL Grime,created & played,RL Grime: RL Grime & What So Not - Tell Me (Baauer Edit),track_basic,-1
RL Grime,0.459933,0.29647,2,Tell Me  - RL Grime,created & played,RL Grime: RL Grime & What So Not - Tell Me (Baauer Edit),set_artist,1
Tell Me ,0.402741,0.301752,1,Tell Me  - What So Not,created,RL Grime: RL Grime & What So Not - Tell Me (Baauer Edit),track_basic,-1
What So Not,0.393036,0.340101,2,Tell Me  - What So Not,created,RL Grime: RL Grime & What So Not - Tell Me (Baauer Edit),artist,-1
Supernatural,0.486005,0.356592,1,Supernatural - Flosstradamus,played,Flosstradamus: Boombox Cartel & QUIX feat. Anjulie - Supernatural,track_basic,-1
Flosstradamus,0.487756,0.395637,2,Supernatural - Flosstradamus,played,Flosstradamus: Boombox Cartel & QUIX feat. Anjulie - Supernatural,set_artist,1
Supernatural,0.486005,0.356592,1,Supernatural - Boombox Cartel,created,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,track_basic,-1
Boombox Cartel,0.498263,0.289584,2,Supernatural - Boombox Cartel,created,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,set_artist,0
Supernatural,0.486005,0.356592,1,Supernatural - QUIX,created,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,track_basic,-1
QUIX,0.497015,0.374858,2,Supernatural - QUIX,created,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,artist,-1
Supernatural,0.486005,0.356592,1,Supernatural - Shaun Frank,played,Shaun Frank: Boombox Cartel & QUIX feat. Anjulie - Supernatural,track_basic,-1
Shaun Frank,0.484177,0.363283,2,Supernatural - Shaun Frank,played,Shaun Frank: Boombox Cartel & QUIX feat. Anjulie - Supernatural,set_artist,1
Supernatural,0.486005,0.356592,1,Supernatural - Anjulie,created,Zomboy: Boombox Cartel & QUIX feat. Anjulie - Supernatural,track_basic,-1
